customer_id,level,source,event_id,description,occurrence_count,safety_keyword
mr188001,I,DeveloperLog_DevLogService,0,ShutdownManagement.Shutdown - Point of no return -> ShutdownExecute,183465,shutdown
mr188001,I,DeveloperLog_DevLogService,0,"ShutdownManagement - Executing: Immediate shutdown, as indicated by shutdown type 'Default' - no LCM involvement.",182586,shutdown
mr188001,I,MRI_HEC,1023,Helium compressor Daily log has updated.,25123,helium
mr188001,I,MRI_HEC,1022,Helium compressor Weekly log has updated.,24012,helium
mr189541,I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,322425,helium
mr189541,I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,322354,helium
mr189541,I,MRI_HEC,1032,Helium compressor unit is running.,322354,helium
mr189541,I,MRI_FRR,278,Emergency docking released.,316869,emergency
mr189541,I,DeveloperLog_DevLogService,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,158377,shutdown
mr189541,I,DeveloperLog_DevLogService,0,ShutdownService.CancelShutdownDelayRequest: Removed Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>,158377,shutdown
mr189541,I,DeveloperLog_DevLogService,0,"ShutdownService.RequestShutdownDelayInternal: Adding Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>, requestInfo=PendingShutdownActivities",158359,shutdown
mr189541,I,DeveloperLog_DevLogService,0,ShutdownManagement.Shutdown - Point of no return -> ShutdownExecute,23113,shutdown
mr189541,I,DeveloperLog_DevLogService,0,"ShutdownManagement - Executing: Immediate shutdown, as indicated by shutdown type 'Default' - no LCM involvement.",22434,shutdown
mr189701,I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,286684,helium
mr189701,I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,286683,helium
mr189701,I,MRI_HEC,1032,Helium compressor unit is running.,286683,helium
mr189701,I,MRI_FRR,278,Emergency docking released.,230795,emergency
mr189701,I,MRI_HEC,1018,Helium compressor Event log has updated.,103758,helium
mr189701,I,MRI_HEC,1023,Helium compressor Daily log has updated.,103742,helium
mr189701,I,MRI_HEC,1022,Helium compressor Weekly log has updated.,103584,helium
mr189701,S,MRI_FRR,278,Emergency docking released.,47854,emergency
mr189701,I,DeveloperLog_DevLogService,0,"ShutdownService.RequestShutdownDelayInternal: Adding Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>, requestInfo=PendingShutdownActivities",43124,shutdown
mr189701,I,DeveloperLog_DevLogService,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,43034,shutdown
mr189701,I,DeveloperLog_DevLogService,0,ShutdownService.CancelShutdownDelayRequest: Removed Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>,43034,shutdown
mr189701,I,DeveloperLog_DevLogService,0,ShutdownManagement.Shutdown - Point of no return -> ShutdownExecute,21456,shutdown
mr189701,I,DeveloperLog_DevLogService,0,"ShutdownManagement - Executing: Immediate shutdown, as indicated by shutdown type 'Default' - no LCM involvement.",20837,shutdown
mr189779,I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,280279,helium
mr189779,I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,280260,helium
mr189779,I,MRI_HEC,1032,Helium compressor unit is running.,280260,helium
mr189779,I,MRI_FRR,278,Emergency docking released.,280235,emergency
mr189779,I,DeveloperLog_DevLogService,0,ShutdownManagement.Shutdown - Point of no return -> ShutdownExecute,21952,shutdown
mr189779,I,DeveloperLog_DevLogService,0,"ShutdownManagement - Executing: Immediate shutdown, as indicated by shutdown type 'Default' - no LCM involvement.",21324,shutdown
mr189779,I,DeveloperLog_DevLogService,0,"ShutdownService.RequestShutdownDelayInternal: Adding Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>, requestInfo=PendingShutdownActivities",11822,shutdown
mr189779,I,DeveloperLog_DevLogService,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,11820,shutdown
mr189779,I,DeveloperLog_DevLogService,0,ShutdownService.CancelShutdownDelayRequest: Removed Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>,11820,shutdown
mr189779,I,DeveloperLog_DevLogService,0,CreateListOfChecks: Allocating SafetyRelatedQaCheckConfirmationWindow,10957,safety
mr189779,I,DeveloperLog_DevLogService,0,SafetyRelatedQaCheck.AreAllSafetyRelatedStepsDone()=True,10957,safety
mr189880,I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,68381,helium
mr189880,I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,68375,helium
mr189880,I,MRI_HEC,1032,Helium compressor unit is running.,68375,helium
mr189880,I,MRI_HEC,1023,Helium compressor Daily log has updated.,59943,helium
mr189880,I,MRI_FRR,278,Emergency docking released.,46944,emergency
mr189880,I,MRI_HEC,1022,Helium compressor Weekly log has updated.,42934,helium
mr189880,S,MRI_FRR,278,Emergency docking released.,21643,emergency
mr189880,I,MRI_HEC,1018,Helium compressor Event log has updated.,21234,helium
mr189880,I,DeveloperLog_DevLogService,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,4820,shutdown
mr189880,I,DeveloperLog_DevLogService,0,ShutdownService.CancelShutdownDelayRequest: Removed Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>,4820,shutdown
mr189880,I,DeveloperLog_DevLogService,0,"ShutdownService.RequestShutdownDelayInternal: Adding Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>, requestInfo=PendingShutdownActivities",4818,shutdown
mr190001,I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,453221,helium
mr190001,I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,453158,helium
mr190001,I,MRI_HEC,1032,Helium compressor unit is running.,453156,helium
mr190001,I,MRI_FRR,278,Emergency docking released.,402931,emergency
mr190001,S,MRI_FRR,278,Emergency docking released.,61226,emergency
mr190001,I,DeveloperLog_DevLogService,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,23623,shutdown
mr190001,I,DeveloperLog_DevLogService,0,ShutdownService.CancelShutdownDelayRequest: Removed Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>,23623,shutdown
mr190001,I,DeveloperLog_DevLogService,0,"ShutdownService.RequestShutdownDelayInternal: Adding Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>, requestInfo=PendingShutdownActivities",23621,shutdown
mr190192,I,MRI_HEC,1032,Helium compressor unit is running.,659979,helium
mr190192,I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,659975,helium
mr190192,I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,659974,helium
mr190192,I,MRI_FRR,278,Emergency docking released.,414129,emergency
mr190192,S,MRI_FRR,278,Emergency docking released.,299742,emergency
mr190192,I,DeveloperLog_DevLogService,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,109759,shutdown
mr190192,I,DeveloperLog_DevLogService,0,ShutdownService.CancelShutdownDelayRequest: Removed Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>,109759,shutdown
mr190192,I,DeveloperLog_DevLogService,0,"ShutdownService.RequestShutdownDelayInternal: Adding Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>, requestInfo=PendingShutdownActivities",109746,shutdown
mr190192,I,DeveloperLog_DevLogService,0,ShutdownManagement.Shutdown - Point of no return -> ShutdownExecute,99698,shutdown
mr190192,I,DeveloperLog_DevLogService,0,"ShutdownManagement - Executing: Immediate shutdown, as indicated by shutdown type 'Default' - no LCM involvement.",98698,shutdown
mr190192,I,_unknown,0,"ShutdownService.RequestShutdownDelayInternal: Adding Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>, requestInfo=PendingShutdownActivities",79353,shutdown
mr190192,I,_unknown,0,ShutdownService.CancelShutdownDelayRequest: Removed Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>,79339,shutdown
mr190192,I,_unknown,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,79338,shutdown
mr190192,I,_unknown,0,ShutdownManagement.Shutdown - Point of no return -> ShutdownExecute,71684,shutdown
mr190192,I,_unknown,0,"ShutdownManagement - Executing: Immediate shutdown, as indicated by shutdown type 'Default' - no LCM involvement.",71104,shutdown
mr190192,E,MRI_RFS,8,SAR limit(s) exceeded.,19708,sar limit
mr190293,I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,434297,helium
mr190293,I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,434293,helium
mr190293,I,MRI_HEC,1032,Helium compressor unit is running.,434293,helium
mr190293,I,MRI_HEC,1023,Helium compressor Daily log has updated.,373251,helium
mr190293,I,MRI_HEC,1018,Helium compressor Event log has updated.,372190,helium
mr190293,I,MRI_HEC,1022,Helium compressor Weekly log has updated.,372140,helium
mr190293,I,MRI_FRR,278,Emergency docking released.,328954,emergency
mr190293,I,DeveloperLog_DevLogService,0,"ShutdownService.RequestShutdownDelayInternal: Adding Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>, requestInfo=PendingShutdownActivities",177031,shutdown
mr190293,I,DeveloperLog_DevLogService,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,176973,shutdown
mr190293,I,DeveloperLog_DevLogService,0,ShutdownService.CancelShutdownDelayRequest: Removed Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>,176973,shutdown
mr190293,S,MRI_FRR,278,Emergency docking released.,103656,emergency
mr190293,I,_unknown,0,"ShutdownService.RequestShutdownDelayInternal: Adding Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>, requestInfo=PendingShutdownActivities",55371,shutdown
mr190293,I,_unknown,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,55325,shutdown
mr190293,I,_unknown,0,ShutdownService.CancelShutdownDelayRequest: Removed Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>,55325,shutdown
mr190293,I,DeveloperLog_DevLogService,0,ShutdownManagement.Shutdown - Point of no return -> ShutdownExecute,38367,shutdown
mr190293,I,DeveloperLog_DevLogService,0,"ShutdownManagement - Executing: Immediate shutdown, as indicated by shutdown type 'Default' - no LCM involvement.",37554,shutdown
mr190293,E,MRI_RFS,8,SAR limit(s) exceeded.,14332,sar limit
mr190387,I,MRI_HEC,1032,Helium compressor unit is running.,274606,helium
mr190387,I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,274598,helium
mr190387,I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,274591,helium
mr190387,I,MRI_FRR,278,Emergency docking released.,274590,emergency
mr190387,I,DeveloperLog_DevLogService,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,82814,shutdown
mr190387,I,DeveloperLog_DevLogService,0,ShutdownService.CancelShutdownDelayRequest: Removed Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>,82814,shutdown
mr190387,I,DeveloperLog_DevLogService,0,"ShutdownService.RequestShutdownDelayInternal: Adding Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>, requestInfo=PendingShutdownActivities",82801,shutdown
mr190387,I,DeveloperLog_DevLogService,0,ShutdownManagement.Shutdown - Point of no return -> ShutdownExecute,21800,shutdown
mr190387,I,DeveloperLog_DevLogService,0,"ShutdownManagement - Executing: Immediate shutdown, as indicated by shutdown type 'Default' - no LCM involvement.",21144,shutdown
mr190387,I,DeveloperLog_DevLogService,0,CreateListOfChecks: Allocating SafetyRelatedQaCheckConfirmationWindow,11574,safety
