level,source,event_id,masked_description,occurrence_count
I,MRI_MSR,104,"Measurement finished OK. (Protocol: 'AdjCoilSens', Sequence: '%AdjustSeq%/AdjCoilSensSeq')",17669
I,MRI_COS,20,IRIS prepare time: 21 ms,17644
I,MRI_GSP,0,Load image in segment: planningRight,15416
I,MRI_FRR,265,"ZAxisOutPossible: 0, ZAxisInPossible: 0, argument values are boolean.",15089
I,MRI_COS,20,IRIS prepare time: 22 ms,14797
I,MRI_MSR,11,Measurement server unlocked.,14611
I,MRI_SCT,71,Receive a breathhold finish signal,14055
I,MRI_SCT,70,Receive a breathhold start signal,14018
I,MRI_FRR,266,"XAxisPlusLocked: 0,  XAxisMinusLocked: 0, argument values are boolean.",13833
I,MRI_FRR,267,"YAxisUpLocked: 0, YAxisDownLocked: 0, argument values are boolean.",13833
I,MRI_MSR,101,Valid coil select (Coil select #0: 'BC'),13527
I,SampleFile,0,Sampled File - Type: Diagnostics.xml,13522
I,MRI_FRR,268,"ZAxisOutLocked: 0, ZAxisInLocked: 0, argument values are boolean.",12629
I,DeveloperLog_DevLogService,0,"ACQM: Notify series complete '1.3.12.2.1107.5.2.55.<NUM_ID>.<NUM_ID>.0.0.0' to QA '<GUID>' with: ViewingOptions: SuppressDisplay: True, PrintOptions: AutoPrint: False, AutoPrintOptions: , RoutingOptions: , DistributionOptions: , PluginOptions: null. (-1), Objects:",12603
I,MRI_PTG,226,Patient table information: Y-axis: not in motion Y. Y-Position is: <NUM_ID>,11815
I,MRI_MSR,100,"Start prepare. (Protocol: 'AdjTra', Sequence: '%AdjustSeq%/AdjTraSeq')",11364
I,MRI_MSR,102,"Preparation OK (Protocol: 'AdjTra', Sequence: '%AdjustSeq%/AdjTraSeq')",11362
I,MRI_MSR,103,"Start measurement. (Protocol: 'AdjTra', Sequence: '%AdjustSeq%/AdjTraSeq')",11362
I,MRI_MSR,104,"Measurement finished OK. (Protocol: 'AdjTra', Sequence: '%AdjustSeq%/AdjTraSeq')",11346
I,MRI_PTG,213,Patient table information: Y-axis: in motion Y. Y-Position is: <NUM_ID>,11343
I,MRI_FRR,256,PTAB information: New center position has been set: New center position=-934,11307
I,MRI_PAC,104,The following licenses are needed to run the protocol   N_Deep_Learning_Recon N_Iterative_Denoising|N_Deep_Learning_Recon|N_ms_epi N_Super_Resolution N_TimApplication.,11268
I,MRI_COS,21,SPICE prepare time: 14 ms,10919
I,Service Control Manager,7040,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.,10665
I,Service Control Manager,7040,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.,10660
I,MRI_PTG,211,Patient table information: movement downward along Y axis possible.,10518
I,DeveloperLog_DevLogService,0,Storage-Service: Istances = 3 | Archivable = 2 | Contracts = 2.,10416
I,Event_UsageTrail,0,"<Event type=""UtilizationEvent"" name =""AppLevel_UsageTrail_Modules_CIP_LayoutManagementUsage"" time=""<DATE> <TIME>Z""> <TaskID>TM.WF_MR ViewAndGo_<GUID>.OneViewer.Legacy.TaskId</TaskID> <Content><Item Type=""LayoutManagement"" Name=""LayoutManagement"" Action=""DragAndDrop"" Tool_Logical_Name=""ToolsCommon: SimpleReplaceDragDropTool"" Image_Type=""1.3.12.2.1107.5.99.3.10,DERIVED,SECONDARY,M,NONE"" Layout_ID=""MRViewing_Stack3x2-s"" Layout_Name=""Stack 3x2"" Layout_Section=""Site, "" /></Content> </Event>",10166
I,MRI_PTG,104,Patient table information: Z-axis: end position reached (outermost).,10090
I,MRI_PTG,212,Patient table information: movement upward along Y axis possible.,9621
I,MRI_PTG,200,Patient table information: ready to move in y-axis direction,9620
I,DeveloperLog_DevLogService,0,Smart ImageText feature is: Enabled,9534
W,DeveloperLog_DevLogService,0,ListView Item value is null => False,9199
I,MRI_MSR,101,"Valid coil select (Coil select #0: 'BO1-3,SP1-3')",9187
I,DeveloperLog_DevLogService,0,Plug in: VectorRayCaster is used for filter type MPR_THICK,8951
I,MRI_PTG,1,Patient table information:  S10 has value 1,8862
I,MRI_MSR,101,"Valid coil select (Coil select #0: 'HE1-4,NE2')",8673
I,DeveloperLog_DevLogService,0,IsStartExamOperationExecutingAsync(): isExecuting=False,8554
I,MRI_PTG,2,Patient table information:  S10 has value 0,8414
I,DeveloperLog_DevLogService,0,Receiving event with name DMWL_QUERY_SERVICE_V1.0 in DmwlService IsInitialized Body,8206
I,NVWMI,3,NVWMI - Base Profile [c:/program files/siemens/numaris/bin/syngo.common.container.exe] was launched and [Base Profile] profile was applied,8113
I,MRI_MSR,101,"Valid coil select (Coil select #0: 'HE1-4,NE1,2')",7885
I,MRI_MSR,101,"Valid coil select (Coil select #0: 'BO1-3,SP1-4')",7859
I,DeveloperLog_DevLogService,0,ShutdownManagement.Shutdown - Point of no return -> ShutdownExecute,7852
I,MRI_COS,20,IRIS prepare time: 17 ms,7686
I,MRI_FRR,265,"ZAxisOutPossible: 0, ZAxisInPossible: 1, argument values are boolean.",7579
I,MRI_COS,21,SPICE prepare time: 15 ms,7501
I,SampleFile,0,Sampled File - Type: 1.2.840.<NUM_ID>.4.<NUM_ID>.<NUM_ID>.<NUM_ID>.<NUM_ID>.xml,7416
I,MRI_MSR,101,"Valid coil select (Coil select #0: 'HE3,4,NE1,2,SP1')",7360
I,SampleFile,0,Sampled File - Type: Process-<NUM_ID>-<NUM_ID>-<NUM_ID>.xml,7094
I,DeveloperLog_DevLogService,0,"ACQM: Checked-In 'CheckinCompleted 1.2.840.<NUM_ID>.4.<NUM_ID>.<NUM_ID>.<NUM_ID>.<NUM_ID> 1.3.12.2.1107.5.2.55.<NUM_ID>.<NUM_ID>.0.0.0 1.2.840.<NUM_ID>.5.1.4.1.1.4.1 1.3.12.2.1107.5.2.55.<NUM_ID>.<NUM_ID> 2'. (-1), Objects:",6820
I,MRI_CPA,1065,"The center button on the control panel was pressed briefly, i.e. for less than 1 second.",6789
I,DeveloperLog_DevLogService,0,"<GUID>: Inactivity Delay starting: delay=<NUM_ID> sec, GoOnFlag=True, ActivityFlag=False, UserHasCompletedWorkflowFlag=False",6500
I,DeveloperLog_DevLogService,0,Plug in: VectorRayCaster is used for filter type MIP,6158
I,DeveloperLog_DevLogService,0,"<GUID>: using settings: MPPSAutoComplete=True, QATemplate=MR ViewAndGo, DelayInSecondsForWorkflowDelete=<NUM_ID>, gContextFolderDisable=False",6157
I,MRI_MSR,101,"Valid coil select (Coil select #0: 'HE1-4,NE1,2,SP1')",6143
I,DeveloperLog_DevLogService,0,"ShutdownManagement - Executing: Immediate shutdown, as indicated by shutdown type 'Default' - no LCM involvement.",6048
I,DeveloperLog_DevLogService,0,<GUID>: Prepare Workflow: Studies=1.2.840.<NUM_ID>.4.<NUM_ID>.<NUM_ID>.<NUM_ID>.<NUM_ID> after sorting,6040
I,MRI_MSR,101,Valid coil select (Coil select #0: 'SP2-5'),6027
W,MRI_CPA,1015,Internal warning. The CAN warning level has been reached.,6026
I,DeveloperLog_DevLogService,0,IMAGE_ACCESS_RSC:  Creating Named pipe Binding,6023
I,DeveloperLog_DevLogService,0,IMAGE_ACCESS_RSC:  Host opened,6023
I,DeveloperLog_DevLogService,0,IMAGE_ACCESS_RSC:  Named pipe Binding created,6023
I,DeveloperLog_DevLogService,0,IMAGE_ACCESS_RSC: ImageAccessImpl created,6023
I,DeveloperLog_DevLogService,0,IMAGE_ACCESS_RSC: Starting Server,6023
I,DeveloperLog_DevLogService,0,IMAGE_ACCESS_RSC: starting ImageAccessImpl creation,6023
I,MRI_FRR,270,"New absolute position: 0 mm, New relative position: 934 mm, , Position category: 19. Explanation: First two argument values are long. See enum PerPTABPositionCategory defined in PerMotionControlIF for 3rd argument.",5990
W,ExportImportFramework,0,The execution finished with warning(s). For further details please check the Message Viewer.,5920
I,DeveloperLog_DevLogService,0,"CanExecuteDataCompleteCommand(): CanExecuteExam =True, study instance uid = 1.2.840.<NUM_ID>.4.<NUM_ID>.<NUM_ID>.<NUM_ID>.<NUM_ID>",5887
I,DeveloperLog_DevLogService,0,Adapter Exam: NotifyMeasurementSystem() finished,5800
I,MRI_COS,20,IRIS prepare time: 16 ms,5770
I,MRI_COS,20,IRIS prepare time: 23 ms,5766
I,DeveloperLog_DevLogService,0,<GUID>: created Workflow=<GUID>@WorkflowNX in database,5711
I,DeveloperLog_DevLogService,0,ExamPatientRegistration_OnExamDataChanged received,5665
I,DeveloperLog_DevLogService,0,Plug in: VectorRayCaster is used for filter type MPR,5612
I,DeveloperLog_DevLogService,0,"ImageAccessRSC is not yet part of the composition, will be added now.",5539
I,DeveloperLog_DevLogService,0,WorkflowID is not yet part of the composition. Will be exported now with value: net.tcp://localhost:<NUM_ID>/PatientData/<GUID>/service/PDS,5539
I,DeveloperLog_DevLogService,0,"Communication Server is started successfully!. Server Id: <GUID>, Service Name: PrintingService",5535
W,DeveloperLog_DevLogService,0,Config key UseLightWeightBiBc not found in service configuration,5535
I,NVWMI,3,NVWMI - Base Profile [c:/program files/siemens/numaris/bin/syngo.viewing.shell.host.exe] was launched and [Base Profile] profile was applied,5532
I,MRI_PFW,9036,PTABK2363M-PTAB [Dev#<DEV_ID>] info: 'Node guarding state changed' (36) message has been received,5528
I,DeveloperLog_DevLogService,0,ScanUI deactivated,5504
I,MRI_FRR,910,Current coil temperatures (degree C): board: 32.25,5488
